#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM    Stats: 3.439710e+12 (median) + 1.830880e+12  / - 8.558899e+11
#SM    Stats: 5.169490e+10 (median) + 4.481480e+10  / - 2.739340e+10
#ObsSM Stats: 4.893400e+10 (median) + 5.927200e+10  / - 2.889250e+10
#VMP   Stats: 3.193500e+02 (median) + 4.794998e+01  / - 2.785001e+01
#ICL   Stats: 6.708960e+08 (median) + 1.522634e+09  / - 4.614130e+08
#SSFR  Stats: 1.001824e-11 (median) + 2.941932e-09  / - 8.252584e-12
iclh 0.283435 0.0702882 0.469224 0.0601272 #avg: 0.654592; avg_err: 0.0383977; sd: 4.34912; counts: 12830
iclh 0.288498 0.0560382 0.418437 0.0483469 #avg: 0.640536; avg_err: 0.0344423; sd: 3.90112; counts: 12830
iclh 0.29356 0.0437007 0.348433 0.0381125 #avg: 0.609757; avg_err: 0.0377955; sd: 4.28092; counts: 12830
iclh 0.298623 0.033481 0.278524 0.0297266 #avg: 0.561859; avg_err: 0.0427031; sd: 4.83678; counts: 12830
iclh 0.303685 0.0237864 0.215716 0.0213974 #avg: 0.467288; avg_err: 0.0351328; sd: 3.97932; counts: 12830
iclh 0.308748 0.0156807 0.161416 0.014346 #avg: 0.373957; avg_err: 0.0283017; sd: 3.2056; counts: 12830
iclh 0.31381 0.00951944 0.11051 0.00883629 #avg: 0.300148; avg_err: 0.0262608; sd: 2.97443; counts: 12830
iclh 0.318873 0.0048969 0.0670101 0.00465067 #avg: 0.229871; avg_err: 0.0206304; sd: 2.33671; counts: 12830
iclh 0.323935 0.00184776 0.0332083 0.00179271 #avg: 0.160529; avg_err: 0.016349; sd: 1.85177; counts: 12830
iclh 0.328997 0.000351361 0.0107075 0.000351361 #avg: 0.0652389; avg_err: 0.00842493; sd: 0.954251; counts: 12830
iclh 0.33406 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12830
sm_mp 0.055623 0 0 0 #avg: 298.817; avg_err: 255.492; sd: 28938.3; counts: 12830
sm_mp 0.060123 0 0 0 #avg: 4797.74; avg_err: 801.426; sd: 90773.7; counts: 12830
sm_mp 0.062373 0 0 0 #avg: 22236.9; avg_err: 2448.12; sd: 277287; counts: 12830
sm_mp 0.064623 0 0 0 #avg: 85633.1; avg_err: 6634.98; sd: 751513; counts: 12830
sm_mp 0.066873 0 0 0 #avg: 254595; avg_err: 15604.4; sd: 1.76743e+06; counts: 12830
sm_mp 0.069123 0 0 0 #avg: 619324; avg_err: 32262.8; sd: 3.65425e+06; counts: 12830
sm_mp 0.071373 0 7560.01 0 #avg: 1.2837e+06; avg_err: 58233.9; sd: 6.59588e+06; counts: 12830
sm_mp 0.073623 0 452347 0 #avg: 2.3388e+06; avg_err: 95539.2; sd: 1.08213e+07; counts: 12830
