#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 8.529410e+12 (median) + 4.580889e+12  / - 2.225000e+12
#SM    Stats: 7.630920e+10 (median) + 5.419680e+10  / - 3.643740e+10
#ObsSM Stats: 7.410340e+10 (median) + 6.324260e+10  / - 3.828660e+10
#VMP   Stats: 3.699100e+02 (median) + 5.604999e+01  / - 3.897000e+01
#ICL   Stats: 2.943150e+09 (median) + 9.104750e+09  / - 2.058597e+09
#SSFR  Stats: 2.325970e-12 (median) + 3.824331e-12  / - 1.472288e-12
iclh 0.247998 1.06289 3.00806 0.777525 #avg: 3.10136; avg_err: 0.0986145; sd: 9.57526; counts: 9429
iclh 0.25306 1.04418 3.12638 0.776658 #avg: 3.02802; avg_err: 0.086899; sd: 8.43771; counts: 9429
iclh 0.258123 0.996904 3.11163 0.744296 #avg: 3.04338; avg_err: 0.0899239; sd: 8.73142; counts: 9429
iclh 0.263185 0.973123 3.17422 0.734386 #avg: 3.0985; avg_err: 0.0968227; sd: 9.40128; counts: 9429
iclh 0.268248 0.927166 3.12081 0.697307 #avg: 3.15019; avg_err: 0.109619; sd: 10.6438; counts: 9429
iclh 0.27331 0.898251 3.09747 0.682277 #avg: 3.15819; avg_err: 0.104851; sd: 10.1808; counts: 9429
iclh 0.278373 0.860779 3.08067 0.656378 #avg: 3.18114; avg_err: 0.102137; sd: 9.91727; counts: 9429
iclh 0.283435 0.824245 3.10115 0.636095 #avg: 3.17206; avg_err: 0.103137; sd: 10.0144; counts: 9429
iclh 0.288498 0.791576 3.1378 0.612727 #avg: 3.26881; avg_err: 0.106469; sd: 10.3379; counts: 9429
iclh 0.29356 0.765355 3.13272 0.595381 #avg: 3.35575; avg_err: 0.116918; sd: 11.3525; counts: 9429
iclh 0.298623 0.737144 3.18617 0.57706 #avg: 3.48659; avg_err: 0.12502; sd: 12.1392; counts: 9429
iclh 0.303685 0.705206 3.18467 0.557035 #avg: 3.53287; avg_err: 0.127911; sd: 12.4199; counts: 9429
iclh 0.308748 0.676315 3.18685 0.535673 #avg: 3.56271; avg_err: 0.131793; sd: 12.7968; counts: 9429
iclh 0.31381 0.63373 3.17834 0.506824 #avg: 3.63108; avg_err: 0.137492; sd: 13.3502; counts: 9429
iclh 0.318873 0.594549 3.22859 0.475693 #avg: 3.68225; avg_err: 0.139676; sd: 13.5623; counts: 9429
iclh 0.323935 0.570935 3.13356 0.46247 #avg: 3.65273; avg_err: 0.143117; sd: 13.8964; counts: 9429
