#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.95 - 3.11667
#HM    Stats: 1.277940e+14 (median) + 1.848500e+13  / - 1.866200e+13
#SM    Stats: 3.454710e+11 (median) + 1.184230e+11  / - 5.006983e+09
#ObsSM Stats: 3.448720e+11 (median) + 2.420840e+11  / - 9.296000e+10
#VMP   Stats: 9.854700e+02 (median) + 3.236005e+01  / - 8.632996e+01
#ICL   Stats: 9.306270e+10 (median) + 5.908230e+10  / - 7.044899e+09
#SSFR  Stats: 1.899853e-11 (median) + 8.019954e-12  / - 6.467049e-15
sfh 0.379622 45.1123 3.7785 41.9334 #avg: 32.394; avg_err: 14.6482; sd: 20.7157; counts: 3
sfh 0.384685 28.3763 28.6819 15.3487 #avg: 32.8207; avg_err: 12.9033; sd: 18.2481; counts: 3
sfh 0.389747 21.9283 17.7525 12.248 #avg: 23.7631; avg_err: 8.70885; sd: 12.3162; counts: 3
sfh 0.39481 18.4026 40.1861 12.2358 #avg: 27.7194; avg_err: 15.8337; sd: 22.3922; counts: 3
sfh 0.399872 27.1492 9.871 21.1043 #avg: 23.4048; avg_err: 9.13569; sd: 12.9198; counts: 3
sfh 0.404935 26.974 22.1462 21.8559 #avg: 27.0708; avg_err: 12.7024; sd: 17.9639; counts: 3
sfh 0.409997 14.5312 23.4881 8.97208 #avg: 19.3699; avg_err: 9.67773; sd: 13.6864; counts: 3
sfh 0.41506 11.8678 26.5359 6.80692 #avg: 18.4441; avg_err: 10.1714; sd: 14.3845; counts: 3
sfh 0.420122 1.8634 3.03589 0.74474 #avg: 2.62712; avg_err: 1.15625; sd: 1.63518; counts: 3
sfh 0.425185 5.28936 12.5791 3.71787 #avg: 8.24312; avg_err: 4.93091; sd: 6.97336; counts: 3
sfh 0.430247 4.55591 15.6742 3.2029 #avg: 8.71301; avg_err: 5.8323; sd: 8.24812; counts: 3
sfh 0.43531 12.3644 29.9488 7.66031 #avg: 19.7939; avg_err: 11.4747; sd: 16.2277; counts: 3
sfh 0.440372 8.69302 33.0933 5.8104 #avg: 17.7873; avg_err: 12.1162; sd: 17.1348; counts: 3
sfh 0.445435 17.669 16.1768 14.2651 #avg: 18.3062; avg_err: 8.79359; sd: 12.436; counts: 3
sfh 0.450497 2.6372 14.509 1.46102 #avg: 6.98653; avg_err: 5.09732; sd: 7.20869; counts: 3
sfh 0.45556 1.22731 5.77084 0.15948 #avg: 3.09776; avg_err: 1.95074; sd: 2.75876; counts: 3
sfh 0.460622 1.16102 1.0155 0.309698 #avg: 1.39629; avg_err: 0.400229; sd: 0.56601; counts: 3
sfh 0.465685 1.34301 1.53403 0.623076 #avg: 1.64666; avg_err: 0.640945; sd: 0.906432; counts: 3
sfh 0.470747 1.95169 1.41502 1.0021 #avg: 2.08933; avg_err: 0.701148; sd: 0.991573; counts: 3
sfh 0.47581 2.55021 0.77186 1.72259 #avg: 2.2333; avg_err: 0.737313; sd: 1.04272; counts: 3
sfh 0.480872 4.62129 0.03895 3.28624 #avg: 3.53886; avg_err: 1.10196; sd: 1.55841; counts: 3
sfh 0.485935 3.86977 5.76169 2.08175 #avg: 5.09642; avg_err: 2.3458; sd: 3.31747; counts: 3
sfh 0.490997 3.43721 2.77668 1.59616 #avg: 3.83072; avg_err: 1.27757; sd: 1.80676; counts: 3
sfh 0.49606 3.4119 4.24382 1.47136 #avg: 4.33605; avg_err: 1.71332; sd: 2.423; counts: 3
sfh 0.501122 4.51092 2.87973 0.16996 #avg: 5.41418; avg_err: 0.989454; sd: 1.3993; counts: 3
iclh 0.055623 0 2.37943e-05 0 #avg: 7.93143e-06; avg_err: 7.93143e-06; sd: 1.12167e-05; counts: 3
iclh 0.060123 0 0.135348 0 #avg: 0.045116; avg_err: 0.045116; sd: 0.0638037; counts: 3
iclh 0.062373 0 0.0953027 0 #avg: 0.0317676; avg_err: 0.0317676; sd: 0.0449261; counts: 3
iclh 0.064623 0 0.473871 0 #avg: 0.157957; avg_err: 0.157957; sd: 0.223385; counts: 3
iclh 0.066873 0.3208 0.306596 0.3208 #avg: 0.316065; avg_err: 0.181129; sd: 0.256155; counts: 3
iclh 0.069123 0.0547513 2.4864 0.0547513 #avg: 0.8653; avg_err: 0.838074; sd: 1.18522; counts: 3
iclh 0.071373 0.131765 2.01943 0.131765 #avg: 0.760985; avg_err: 0.696142; sd: 0.984494; counts: 3
iclh 0.073623 0.180814 2.63161 0.180814 #avg: 0.997745; avg_err: 0.908838; sd: 1.28529; counts: 3
iclh 0.075873 0.514201 2.85853 0.514201 #avg: 1.29564; avg_err: 1.0491; sd: 1.48365; counts: 3
iclh 0.078123 1.07608 3.19026 0.990139 #avg: 1.80945; avg_err: 1.26126; sd: 1.78369; counts: 3
iclh 0.080373 1.92253 3.11494 1.7611 #avg: 2.37381; avg_err: 1.42556; sd: 2.01605; counts: 3
iclh 0.082623 3.07353 2.53925 2.75184 #avg: 3.00267; avg_err: 1.52782; sd: 2.16066; counts: 3
iclh 0.085998 5.86522 1.95237 5.35299 #avg: 4.73168; avg_err: 2.18371; sd: 3.08823; counts: 3
iclh 0.089373 9.39056 4.11804 8.56231 #avg: 7.90914; avg_err: 3.73469; sd: 5.28165; counts: 3
iclh 0.092748 7.38269 11.5451 5.97762 #avg: 9.23852; avg_err: 5.14278; sd: 7.27299; counts: 3
iclh 0.096123 8.36585 13.7978 5.93325 #avg: 10.9874; avg_err: 5.84472; sd: 8.26568; counts: 3
iclh 0.099498 9.30198 16.1535 5.74596 #avg: 12.7712; avg_err: 6.55549; sd: 9.27086; counts: 3
iclh 0.102873 10.6253 21.2882 5.66733 #avg: 15.8323; avg_err: 8.20537; sd: 11.6041; counts: 3
iclh 0.106248 12.8075 21.3495 6.49448 #avg: 17.7592; avg_err: 8.41053; sd: 11.8943; counts: 3
iclh 0.109623 17.7967 31.0142 10.7001 #avg: 24.5681; avg_err: 12.5088; sd: 17.6901; counts: 3
iclh 0.112998 19.4531 32.3481 11.9007 #avg: 26.2689; avg_err: 13.2203; sd: 18.6963; counts: 3
iclh 0.116373 23.976 15.075 15.2259 #avg: 23.9257; avg_err: 8.74714; sd: 12.3703; counts: 3
iclh 0.119748 28.3081 12.8647 19.5356 #avg: 26.0845; avg_err: 9.41902; sd: 13.3205; counts: 3
iclh 0.123123 28.4397 16.4648 18.8869 #avg: 27.6323; avg_err: 10.2131; sd: 14.4436; counts: 3
iclh 0.126498 29.2794 10.8991 20.1463 #avg: 26.197; avg_err: 9.09359; sd: 12.8603; counts: 3
iclh 0.129873 34.0317 13.2643 23.8036 #avg: 30.5186; avg_err: 10.8438; sd: 15.3354; counts: 3
iclh 0.133248 37.2409 18.9743 26.448 #avg: 34.7497; avg_err: 13.1713; sd: 18.6271; counts: 3
iclh 0.136623 42.2497 11.5466 32.028 #avg: 35.4226; avg_err: 13.0338; sd: 18.4326; counts: 3
iclh 0.141685 39.7809 21.4218 28.8657 #avg: 37.2996; avg_err: 14.5697; sd: 20.6046; counts: 3
iclh 0.146748 65.4889 10.9365 52.0966 #avg: 51.7689; avg_err: 19.4463; sd: 27.5012; counts: 3
iclh 0.15181 58.1822 11.9653 41.3696 #avg: 48.3808; avg_err: 16.1576; sd: 22.8503; counts: 3
iclh 0.156873 67.9739 13.694 51.9027 #avg: 55.2377; avg_err: 19.9782; sd: 28.2535; counts: 3
iclh 0.161935 68.5924 13.957 50.3565 #avg: 56.4592; avg_err: 19.5317; sd: 27.6221; counts: 3
iclh 0.166998 66.6918 24.616 45.358 #avg: 59.7778; avg_err: 20.4934; sd: 28.9821; counts: 3
iclh 0.17206 48.7912 40.5083 18.8124 #avg: 56.0232; avg_err: 17.502; sd: 24.7516; counts: 3
iclh 0.177123 47.7772 27.0922 6.5657 #avg: 54.6194; avg_err: 10.3009; sd: 14.5677; counts: 3
iclh 0.182185 61.4015 105.136 22.1468 #avg: 89.0644; avg_err: 39.2603; sd: 55.5225; counts: 3
iclh 0.187248 83.6671 102.566 49.304 #avg: 101.421; avg_err: 44.7307; sd: 63.2588; counts: 3
iclh 0.19231 94.1312 4.1497 64.2844 #avg: 74.0863; avg_err: 22.1522; sd: 31.3279; counts: 3
iclh 0.197373 70.5479 3.0519 40.2884 #avg: 58.1357; avg_err: 13.9659; sd: 19.7508; counts: 3
iclh 0.202435 59.1764 12.1636 24.3606 #avg: 55.1107; avg_err: 10.7378; sd: 15.1856; counts: 3
iclh 0.207498 45.6078 24.715 8.7205 #avg: 50.9393; avg_err: 10.0134; sd: 14.161; counts: 3
iclh 0.21256 53.1329 16.2623 21.9845 #avg: 51.2255; avg_err: 11.082; sd: 15.6723; counts: 3
iclh 0.217623 60.6461 14.2227 31.5858 #avg: 54.8584; avg_err: 13.5367; sd: 19.1438; counts: 3
iclh 0.222685 57.566 51.479 26.6906 #avg: 65.8288; avg_err: 22.9407; sd: 32.443; counts: 3
iclh 0.227748 47.7296 72.8564 21.6803 #avg: 64.7883; avg_err: 28.5922; sd: 40.4355; counts: 3
iclh 0.23281 51.8707 72.6443 18.1692 #avg: 70.0291; avg_err: 27.7433; sd: 39.2349; counts: 3
iclh 0.237873 46.6734 79.8506 4.0457 #avg: 71.9417; avg_err: 27.3161; sd: 38.6308; counts: 3
iclh 0.242935 47.2347 53.0513 0.826698 #avg: 64.6429; avg_err: 17.8231; sd: 25.2057; counts: 3
iclh 0.247998 62.7823 147.534 18.0006 #avg: 105.96; avg_err: 52.4361; sd: 74.1559; counts: 3
iclh 0.25306 58.0836 82.1494 8.9109 #avg: 82.4964; avg_err: 28.9827; sd: 40.9877; counts: 3
iclh 0.258123 59.9038 106.958 20.6938 #avg: 88.6586; avg_err: 39.5554; sd: 55.9398; counts: 3
